Date,Asset,Platform,WellID,GrossProduction_boepd,NetProduction_boepd,Gas_mscfd,Oil_bopd,Uptime_pct,Status
2025-02-02,Block A,Alpha,A-01,1574.2,451.3,6554.1,444.2,94.3,Online
2025-09-15,Block A,Bravo,B-03,1804.8,517.4,7634.5,488.5,97.8,Online
2025-12-15,Block A,Bravo,B-01,1932.0,553.9,7815.4,584.5,99.0,Online
2025-06-06,Block A,Alpha,A-02,2067.2,592.7,8884.9,535.3,92.5,Online
2025-07-25,Tuna,Tuna-FPSO,T-02,271.9,135.9,1038.2,92.9,94.0,Online
2025-11-20,Block A,Alpha,A-01,-1649.8,473.0,6247.3,572.7,96.8,Online
2025-04-17,Block A,Alpha,A-01,2245.8,643.9,9140.1,669.9,97.8,Online
2025-06-05,Block A,Alpha,A-02,1959.3,561.7,7423.9,679.3,96.5,Online
2025-04-12,Block A,Alpha,A-04,1875.3,537.6,7444.4,591.8,97.6,Online
2025-05-25,Block A,Alpha,A-01,2062.1,591.2,8654.1,570.0,92.4,Online
2025-10-21,Block A,Alpha,A-02,2227.8,638.7,8834.6,704.6,99.1,Online
2025-11-17,Block A,Alpha,A-04,1627.5,466.6,6159.5,565.5,97.2,Online
2025-01-27,Tuna,Tuna-FPSO,T-03,257.2,128.6,1077.2,71.5,93.7,Online
2025-09-26,Tuna,Tuna-FPSO,T-01,252.6,126.3,964.2,86.4,97.8,Online
2025-12-21,Block A,Alpha,A-03,1710.1,490.3,6965.8,509.1,94.2,Online
2025-01-19,Block A,Bravo,B-02,1965.2,563.4,7784.7,623.0,97.5,Online
2025-09-18,Block A,Alpha,A-01,1880.1,539.0,7312.8,619.3,97.0,Online
2025-11-07,Block A,Bravo,B-02,1833.0,525.5,7137.4,602.4,93.1,Online
2025-02-14,Tuna,Tuna-FPSO,T-03,247.3,123.7,967.1,80.6,97.4,Online
2025-05-14,Block A,Alpha,A-01,1966.8,563.9,8325.3,531.4,94.5,Online
2025-02-15,Tuna,Tuna-FPSO,T-01,276.2,138.1,1104.9,85.7,96.0,Online
2025-11-08,Block A,Alpha,A-03,1771.1,507.8,7568.7,466.1,93.0,Online
2025-01-01,Tuna,Tuna-FPSO,T-02,263.8,131.9,1052.4,82.3,96.4,Online
2025-04-26,Block A,Alpha,A-01,1873.0,537.0,7954.1,501.6,97.5,Online
2025-12-06,Block A,Bravo,B-01,1997.5,572.7,8195.4,584.5,94.2,Online
2025-10-04,Block A,Bravo,B-01,1973.7,565.9,8290.9,544.2,93.7,Online
2025-01-05,Tuna,Tuna-FPSO,T-01,229.4,114.7,921.0,70.6,94.2,Online
2025-11-11,Block A,Alpha,A-02,1822.4,522.5,7232.1,575.5,99.5,Online
2025-12-11,Block A,Alpha,A-04,1743.4,499.8,6810.9,569.1,99.0,Online
2025-05-19,Tuna,Tuna-FPSO,T-03,269.2,134.6,1158.2,69.5,92.4,Online
2025-09-23,Block A,Bravo,B-03,2053.5,588.7,8131.3,651.6,96.0,Online
2025-08-15,Block A,Alpha,A-01,2009.7,576.2,8272.6,583.4,92.6,Online
2025-07-13,Block A,Alpha,A-03,2189.1,627.6,8670.2,694.2,94.2,Online
2025-11-14,Tuna,Tuna-FPSO,T-01,222.3,111.2,877.2,71.1,99.6,Online
2025-08-02,Block A,Alpha,A-02,2183.6,626.0,9060.9,621.4,93.5,Online
2025-02-19,Block A,Bravo,B-01,1995.4,572.1,7540.8,695.3,93.6,Online
2025-07-01,Tuna,Tuna-FPSO,T-02,275.3,137.7,1047.5,94.7,94.5,Online
2025-03-13,Block A,Alpha,A-02,1695.2,486.0,6556.1,564.8,96.6,Online
2025-09-11,Tuna,Tuna-FPSO,T-03,264.2,132.1,1033.4,86.0,93.9,Online
2025-07-11,Tuna,Tuna-FPSO,T-01,291.3,145.7,1118.6,98.4,93.7,Online
2025-01-15,Block A,Alpha,A-04,2018.7,578.8,7926.7,652.0,98.5,Online
2025-05-29,Block A,Bravo,B-03,2275.3,652.3,8665.1,781.3,99.7,Online
2025-01-08,Tuna,Tuna-FPSO,T-02,214.8,107.4,907.0,58.4,99.1,Online
2025-04-15,Block A,Alpha,A-02,2165.9,621.0,9308.5,561.0,96.0,Online
2025-01-29,Block A,Alpha,A-03,1641.4,470.6,6857.1,459.1,94.5,Online
